forecast_file,category,best_distribution,parameters,aic,bic
ft7.csv,Low_1 <= rainfall < 5,norm,"(1.1954367816091953, 1.3582578403771368)",304.17460569642714,309.1064219337363
ft7.csv,Moderate_5 <= rainfall < 10,uniform,"(3.8359999999999994, 5.288000000000001)",63.95584369177788,65.73658720757021
ft7.csv,High_rainfall => 10,uniform,"(10.114, 11.264)",47.589012389482356,47.98346154415479
ft8.csv,No Observed Precip,norm,"(-0.24913179775280897, 0.5997898572357118)",1619.8174460680139,1629.3998889934662
ft8.csv,Very low_0 < rainfall < 1,norm,"(-0.20937820069204152, 0.7506744803407298)",658.3858002414262,665.7186536176511
ft8.csv,Low_1 <= rainfall < 5,norm,"(1.1846555555555556, 1.5942430677709727)",343.3607664049707,348.3603857456312
ft8.csv,Moderate_5 <= rainfall < 10,norm,"(6.1000000000000005, 1.0200138984058875)",52.91766273406896,54.58408942218139
ft8.csv,High_rainfall => 10,uniform,"(10.896, 10.686)",46.64082052364043,47.035269678312865
ft9.csv,No Observed Precip,norm,"(-0.282338619201726, 0.6214893888129989)",1752.8820776719335,1762.5459848030653
ft9.csv,Very low_0 < rainfall < 1,norm,"(-0.23648683636363635, 0.8184559888320705)",674.2315834892295,681.4651256845626
ft9.csv,Low_1 <= rainfall < 5,norm,"(1.3305584415584415, 1.3964086263624234)",273.93769987907297,278.62531072278034
ft9.csv,Moderate_5 <= rainfall < 10,uniform,"(3.933, 4.540999999999999)",46.36812305924279,47.64623771847331
ft9.csv,High_rainfall => 10,uniform,"(10.822000000000001, 9.49)",35.5033405767057,35.39516087481633
ft10.csv,No Observed Precip,norm,"(-0.28567426470588236, 0.6699058911546166)",1942.8822239626897,1952.5993540322725
ft10.csv,Very low_0 < rainfall < 1,norm,"(-0.2030468725868726, 0.7176187635753354)",567.1290469742544,574.2427030976535
ft10.csv,Low_1 <= rainfall < 5,norm,"(1.4069638554216866, 1.421978711698911)",297.98399037043293,302.8216715860261
ft10.csv,Moderate_5 <= rainfall < 10,uniform,"(3.874, 4.595999999999998)",43.65484535964924,44.78474407457231
ft10.csv,High_rainfall => 10,uniform,"(10.222000000000001, 11.288)",47.62732386190923,48.02177301658167
ft11.csv,No Observed Precip,norm,"(-0.3188502074688796, 0.6791533876468843)",1993.7543384792607,2003.4965210684818
ft11.csv,Very low_0 < rainfall < 1,norm,"(-0.2653555284552846, 0.8440749923939717)",618.7169024219561,625.7275654938209
ft11.csv,Low_1 <= rainfall < 5,norm,"(1.4732739726027397, 1.1475172993625296)",231.25473367415566,235.83565255645243
ft11.csv,Moderate_5 <= rainfall < 10,uniform,"(3.3939999999999997, 5.183999999999999)",43.49384701719936,44.46366031677536
ft11.csv,High_rainfall => 10,uniform,"(9.812000000000001, 10.482)",41.59455200607959,41.75343508943926
ft12.csv,No Observed Precip,norm,"(-0.3102357779980178, 0.6585750786587214)",2024.5462792532508,2034.379709293958
ft12.csv,Very low_0 < rainfall < 1,norm,"(-0.25000849785407725, 0.7850449804613294)",552.4467099663718,559.3487868735032
ft12.csv,Low_1 <= rainfall < 5,norm,"(1.5853768115942029, 1.395841371136184)",245.83615421339854,250.30436722259307
ft12.csv,Moderate_5 <= rainfall < 10,uniform,"(-4.484, 13.372)",61.049585308272746,61.845375853869484
ft12.csv,High_rainfall => 10,uniform,"(10.069, 10.171999999999999)",45.75349925607772,46.14794841075015
